Header row. Common for Altium or other CAD tool to include at the start of the CSV
"Not a real BOM or PCB, for example only!"

RefDes,PartNum,Desc,x,y,rotation,height,side
C1,UBXH01-0000248,1uF 10% X7R 10V 0402,23.5,10,0,0.5,TOP
C2,UBXH01-0000248,1uF 10% X7R 10V 0402,18.1,11,0,0.5,TOP
C3,UBXH01-0000248,1uF 10% X7R 10V 0402,20,5,90,0.5,TOP
C4,UBXH01-0000248,1uF 10% X7R 10V 0402,19,5,90,0.5,TOP
C5,UBXH01-0004015,12pF 5% C0G 25V 0402,10,13,0,0.5,TOP
C6,UBXH01-0004015,12pF 5% C0G 25V 0402,9,12,270,0.5,TOP
C7,UBXH01-0004015,12pF 5% C0G 25V 0402,8.1,3,45,0.5,TOP
C8,UBXH01-0004015,12pF 5% C0G 25V 0402,6.5,10,180,0.5,TOP
J1,UBXH04-0000797,QWIIC CONN 4POS 1mm,25,15,180,3,TOP
U1,UBXH12-0000539,MAX4023 IDEAL DIODE,13.5,9,180,2,TOP
U2,UBXH12-0000539,MAX4023 IDEAL DIODE,13.5,9,180,2,BOT
U3,UBXH12-0000539,MAX4023 IDEAL DIODE,15.5,9,180,2,TOP
U4,UBXH10-0000051,SiLabs Dual USB UART Bridge,5.6,3.8,0,1,TOP
