Part Number,Package,Optimal Nozzle,Alternate Nozzle,Stock,FeederNo,Mode,PickHeight,Description
UBXH01-0000455,SMT_0402,CN040,CN065,10000,-1,3,0,
UBXH04-0000785,CONN,CN140,CN100,250,-1,3,0,
UBXH18-0000441,SMT_0402,CN040,CN065,10000,-1,3,0,
UBXH04-0000194,CONN,CN140,CN100,100,-1,3,0,
UBXH04-0000792,CONN,CN140,CN100,100,-1,3,0,
UBXH07-0000034,SOD923,CN030,CN040,1000,-1,3,0,
UBXH07-000003,SOD523,CN040,CN065,1000,-1,3,0,
UBXH04-0000793,SD_SLOT,CN220,CN140,25,-1,3,0,
UBXH09-0000095,SMT_1008,CN100,CN140,100,-1,3,0,
UBXH09-0000095,CONN,CN140,CN100,50,-1,3,0,
UBXH01-0000426,SMT_0603,CN065,CN100,100,-1,3,0,
UBXH12-0000530,8WSON,CN100,CN140,25,-1,3,0,
UBXH12-0000543,16WFQFN,CN100,CN140,25,-1,3,0,
UBXH12-0000544,10QFN,CN100,CN065,25,-1,3,0,
UBXH01-0000040,SMT_0603,CN065,CN100,10000,1,3,0,10uF 20% X7R 10V
UBXH01-0000310,SMT_0603,CN065,CN100,10000,1,3,0,10uF 20% X7R 10V
UBXH01-0000248,SMT_0402,CN040,CN065,5000,2,3,0,1uF 10% X7R 10V
UBXH01-2021002,SMT_0402,CN040,CN065,100,3,3,0,100nF 10% X7R 16V
UBXH01-0000233,SMT_0402,CN040,CN065,100,3,3,0,100nF 10% X7R 16V
UBXH01-0004026,SMT_0402,CN040,CN065,5000,4,3,0,100pF 5% C0G 25V
UBXH01-0004015,SMT_0402,CN040,CN065,100,5,3,0,12pF 5% C0G 25V
UBXH16-0000030,10XQFN,CN065,CN100,100,6,3,0,DUAL SPDT AN SW
UBXH16-0000030,SMT_1210,CN065,CN100,1000,7,3,0,100uF 20% 1210 X5R 10V
UBXH07-0000039,SOD523,CN040,CN065,1000,8,3,0,SCHOTTKY 30V 0.2A
UBXH18-0000564,SMT_0402,CN040,CN065,1000,9,3,0,23.7kO 1%
UBXH18-0000060,SMT_0402,CN040,CN065,10000,10,3,0,33kO 1%
UBXH18-0000475,SMT_0402,CN040,CN065,10000,11,3,0,30kO 1%
UBXH18-0000137,SMT_0402,CN040,CN065,1000,12,3,0,12kO 1%
UBXH18-0008121,SMT_0402,CN040,CN065,10000,13,3,0,1MO 5%
UBXH18-0000005,SMT_0402,CN040,CN065,10000,14,3,0,100kO 1%
UBXH18-0000065,SMT_0402,CN040,CN065,10000,15,3,0,10kO 1%
UBXH18-0008066,SMT_0402,CN040,CN065,5000,16,3,0,5.1kO 5%
UBXH18-0000417,SMT_0402,CN040,CN065,2000,17,3,0,2.2kO 1%
UBXH07-0000083,6SON,CN140,CN100,500,18,3,0,3x TVS DIODE ARRAY
UBXH04-0000797,CONN,CN140,CN100,100,19,3,0,QWIIC CONN 4POS 1mm
UBXH21-0000084,XTAL,CN100,CN065,0,20,3,0,32.768kHz XTAL 7pF 20ppm
UBXH04-0000657,u.fl,CN065,CN040,250,21,3,0,U.FL CONN
UBXH19-0000035,TACT_SW,CN140,CN100,500,22,3,0,SPST TACTILE SW
UBXH18-0000220,SMT_0402,CN040,CN065,10000,23,3,0,1kO 1%
UBXH18-0000269,SMT_0402,CN040,CN065,10000,24,3,0,499O 1%
UBXH18-0008033,SMT_0402,CN040,CN065,10000,30,3,0,220O 5%
UBXH18-0008011,SMT_0402,CN040,CN065,5000,31,3,0,27O 5%
UBXH18-0003002,SMT_0402,CN040,CN065,100,32,3,0,0O JUMPER
UBXH18-0000267,SMT_0402,CN040,CN065,100,33,3,0,47kO 1%
UBXH12-0000539,SOT23-5,CN140,CN100,500,34,3,0,MAX4023 IDEAL DIODE
UBXH20-0000085,SOT-23-3,CN140,CN100,200,35,3,0,P-CH 20V 3A
UBXH18-0000555,SMT_0603,CN065,CN100,1000,36,3,0,1O 1%
UBXH08-0000045,SMT_0603,CN065,CN100,1000,37,3,0,FERRITE BEAD 220O
UBXH11-0000058,SMD_LED,CN065,CN100,10000,38,3,0,LED RGB CA
UBXH06-0000109,6SON,CN065,CN100,100,39,3,0,DUAL INPUT NAND
UBXH07-0000087,SOD123,CN100,CN140,1000,40,3,0,20V 1A SCHOTTKY
UBXH11-0000001,0603_LED,CN065,CN100,2000,41,3,0,LED GREEN
UBXH11-0000057,0603_LED,CN065,CN100,1000,42,3,0,LED YELLOW
UBXH11-0000000,0603_LED,CN065,CN100,1000,43,3,0,LED RED
UBXH20-0000084,SOT563,CN100,CN065,1000,48,3,0,DUAL N/P-CH 20V 0.4A
UBXH20-0000029,SOT563,CN100,CN065,200,49,3,0,DUAL P-CH 20V 0.4A
XXXXXXXXXXXXx,2050-XTAL,CN100,CN065,50,50,3,0,55.2MHz 2016 8pF
UBXH01-2002003,SMT_0603,CN065,CN100,50,53,3,0,4.7uF 0603 X5R 16V
UBXH20-0000083,SOT563,CN100,CN065,50,54,3,0,DUAl N-CH 20V 0.54A
UBXH12-0000267,6WDFN,CN100,CN065,25,55,3,0,LDO 1.8V 500mA
UBXH21-0000114,XTAL,CN040,CN065,20,56,3,0,XTAL 32.7680kHz
UBXH12-0000546,SOT23-5,CN100,CN065,25,58,3,0,3.3V LDO 300mA
UBXH19-0000053,SW_DIP,CN140,CN100,25,77,3,2.3,DUAL DIP SW
UBXH10-0000051,24QFN,CN140,CN100,25,78,4,0,USB UART BRIDGE
